date,state,17-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,other,total
2013-03-02,Malaysia,1744,31,30,21,12,9,5,4,1,1,1858
2013-03-03,Malaysia,181,84,67,70,54,40,28,11,3,0,538
2013-03-04,Malaysia,71,41,20,12,11,6,2,1,2,1,167
2013-03-05,Malaysia,282,84,63,42,26,15,5,0,0,2,519
2013-03-06,Malaysia,349,139,95,48,34,14,6,5,0,0,690
2013-03-07,Malaysia,583,65,40,28,10,14,4,3,0,5,752
2013-03-08,Malaysia,370,46,30,12,16,7,7,1,0,3,492
2013-03-09,Malaysia,435,92,55,36,33,29,18,5,1,0,704
2013-03-10,Malaysia,175,100,108,68,51,45,23,10,2,0,582
2013-03-11,Malaysia,92,56,56,18,15,7,4,1,0,0,249
2013-03-12,Malaysia,332,55,35,32,31,19,6,5,0,1,516
2013-03-13,Malaysia,365,70,39,37,15,11,9,2,0,0,548
2013-03-14,Malaysia,269,68,47,30,17,12,12,6,0,0,461
2013-03-15,Malaysia,306,28,29,24,14,10,2,0,0,0,413
2013-03-16,Malaysia,250,88,69,41,39,32,14,8,0,1,542
2013-03-17,Malaysia,198,137,119,101,81,62,33,16,0,2,749
2013-03-18,Malaysia,89,74,40,33,22,13,11,4,1,0,287
2013-03-19,Malaysia,356,78,66,59,40,21,12,4,0,0,636
2013-03-20,Malaysia,419,56,54,30,23,18,10,3,0,0,613
2013-03-21,Malaysia,190,97,96,46,25,13,7,1,0,2,477
2013-03-22,Malaysia,73,45,24,25,21,10,5,0,0,1,204
2013-03-23,Malaysia,175,88,60,40,40,21,14,9,1,0,448
2013-03-24,Malaysia,154,108,92,86,66,32,22,12,0,2,574
2013-03-25,Malaysia,231,48,32,21,11,16,11,3,1,0,374
2013-03-26,Malaysia,192,68,40,29,19,13,8,3,0,0,372
2013-03-27,Malaysia,292,40,35,20,16,9,14,3,0,0,429
2013-03-28,Malaysia,192,87,64,32,24,18,9,7,0,0,433
2013-03-29,Malaysia,118,56,43,27,30,8,7,3,1,2,295
2013-03-30,Malaysia,173,52,39,22,26,18,9,1,0,0,340
2013-03-31,Malaysia,93,71,62,54,44,33,23,11,0,2,393
2013-04-01,Malaysia,106,31,21,17,10,7,4,1,0,0,197
2013-04-02,Malaysia,202,59,39,36,24,14,11,3,0,0,388
2013-04-03,Malaysia,229,45,33,16,10,13,5,3,0,0,354
2013-04-04,Malaysia,181,92,53,17,16,14,9,8,0,1,391
2013-04-05,Malaysia,189,53,48,33,15,16,9,0,0,1,364
2013-04-06,Malaysia,219,132,102,46,38,27,23,6,1,3,597
2013-04-07,Malaysia,166,130,109,98,76,45,31,16,2,3,676
2013-04-08,Malaysia,137,47,38,20,13,11,3,1,0,0,270
2013-04-09,Malaysia,228,41,24,21,18,10,10,5,0,1,358
2013-04-10,Malaysia,299,79,60,24,24,11,12,2,0,0,511
2013-04-11,Malaysia,151,61,30,30,17,18,9,2,0,0,318
2013-04-12,Malaysia,78,52,54,33,19,15,12,1,1,2,267
2013-04-13,Malaysia,159,69,53,42,25,14,9,5,0,0,376
2013-04-14,Malaysia,144,83,80,68,46,28,37,14,0,0,500
2013-04-15,Malaysia,151,51,45,22,19,11,6,2,1,0,308
2013-04-16,Malaysia,263,83,42,48,35,32,18,2,1,0,524
2013-04-17,Malaysia,207,56,40,26,20,18,6,2,0,0,375
2013-04-18,Malaysia,242,82,53,24,19,14,4,3,0,1,442
2013-04-19,Malaysia,142,72,43,23,17,14,3,3,0,1,318
2013-04-20,Malaysia,196,90,63,61,42,30,13,8,0,1,504
2013-04-21,Malaysia,195,99,90,76,55,51,24,12,2,3,607
2013-04-22,Malaysia,184,38,27,7,21,9,5,5,0,0,296
2013-04-23,Malaysia,183,72,45,32,11,8,7,3,0,1,362
2013-04-24,Malaysia,268,87,50,33,17,9,11,1,0,0,476
